Land,Leeftijd,Vrouw,Man,Transgender,Totaal,Inwoners
Austria,<15,0,3,0,3,9190000
Austria,15-19,3,3,0,6,9190000
Austria,20-24,3,8,0,11,9190000
Austria,25-29,4,16,0,20,9190000
Austria,30-39,15,51,0,66,9190000
Austria,40-49,11,49,0,60,9190000
Austria,50+,9,29,0,38,9190000
Belgium,<15,3,2,0,5,11825551
Belgium,15-19,5,14,0,19,11825551
Belgium,20-24,18,58,3,80,11825551
Belgium,25-29,34,127,5,166,11825551
Belgium,30-39,136,218,15,370,11825551
Belgium,40-49,95,173,3,271,11825551
Belgium,50+,77,142,2,221,11825551
Bulgaria,<15,0,4,0,4,6437360
Bulgaria,15-19,2,2,0,4,6437360
Bulgaria,20-24,7,23,0,30,6437360
Bulgaria,25-29,6,25,0,31,6437360
Bulgaria,30-39,18,73,0,91,6437360
Bulgaria,40-49,20,57,0,77,6437360
Bulgaria,50+,9,38,0,47,6437360
Croatia,<15,1,0,0,1,3822345
Croatia,15-19,0,0,0,0,3822345
Croatia,20-24,0,2,0,2,3822345
Croatia,25-29,2,15,0,17,3822345
Croatia,30-39,5,20,0,25,3822345
Croatia,40-49,3,21,0,24,3822345
Croatia,50+,5,17,0,22,3822345
Cyprus,<15,1,2,0,3,1382334
Cyprus,15-19,0,0,0,0,1382334
Cyprus,20-24,2,7,0,9,1382334
Cyprus,25-29,5,21,0,26,1382334
Cyprus,30-39,10,24,0,34,1382334
Cyprus,40-49,4,16,0,20,1382334
Cyprus,50+,4,29,0,33,1382334
Czechia,<15,1,1,0,2,10527781
Czechia,15-19,2,2,0,4,10527781
Czechia,20-24,5,15,0,20,10527781
Czechia,25-29,9,41,0,50,10527781
Czechia,30-39,28,95,0,123,10527781
Czechia,40-49,49,98,0,147,10527781
Czechia,50+,13,39,0,52,10527781
Denmark,<15,0,1,0,1,6023520
Denmark,15-19,0,0,0,0,6023520
Denmark,20-24,0,5,0,5,6023520
Denmark,25-29,6,21,0,27,6023520
Denmark,30-39,20,46,0,66,6023520
Denmark,40-49,25,29,0,54,6023520
Denmark,50+,12,34,0,46,6023520
Estonia,<15,3,0,0,3,1362954
Estonia,15-19,1,1,0,2,1362954
Estonia,20-24,2,5,0,7,1362954
Estonia,25-29,6,5,0,11,1362954
Estonia,30-39,19,26,0,45,1362954
Estonia,40-49,14,28,0,42,1362954
Estonia,50+,15,8,0,23,1362954
Finland,<15,4,0,0,4,5621739
Finland,15-19,3,3,0,6,5621739
Finland,20-24,2,8,0,10,5621739
Finland,25-29,6,16,0,22,5621739
Finland,30-39,30,50,0,80,5621739
Finland,40-49,28,35,0,63,5621739
Finland,50+,17,24,0,41,5621739
France,<15,19,16,0,35,66746401
France,15-19,61,72,0,133,66746401
France,20-24,124,285,7,416,66746401
France,25-29,183,486,27,696,66746401
France,30-39,448,859,43,1350,66746401
France,40-49,340,572,20,932,66746401
France,50+,378,766,10,1154,66746401
Germany,<15,3,9,0,12,83644258
Germany,15-19,18,26,2,46,83644258
Germany,20-24,47,176,3,226,83644258
Germany,25-29,90,309,8,408,83644258
Germany,30-39,300,692,15,1007,83644258
Germany,40-49,251,576,5,832,83644258
Germany,50+,171,536,0,707,83644258
Greece,<15,0,2,0,2,9897115
Greece,15-19,5,4,0,9,9897115
Greece,20-24,18,38,0,56,9897115
Greece,25-29,23,54,1,78,9897115
Greece,30-39,49,133,3,185,9897115
Greece,40-49,24,148,0,172,9897115
Greece,50+,22,122,0,144,9897115
Hungary,<15,2,1,0,3,9585818
Hungary,15-19,1,1,0,2,9585818
Hungary,20-24,1,18,0,19,9585818
Hungary,25-29,2,24,0,26,9585818
Hungary,30-39,8,53,0,62,9585818
Hungary,40-49,5,38,0,43,9585818
Hungary,50+,7,29,0,37,9585818
Iceland,<15,0,0,0,0,402329
Iceland,15-19,0,0,0,0,402329
Iceland,20-24,0,0,0,0,402329
Iceland,25-29,1,5,0,6,402329
Iceland,30-39,7,6,0,13,402329
Iceland,40-49,9,6,0,15,402329
Iceland,50+,2,3,0,5,402329
Ireland,<15,3,3,0,6,5356950
Ireland,15-19,7,7,0,14,5356950
Ireland,20-24,14,28,0,42,5356950
Ireland,25-29,35,92,2,129,5356950
Ireland,30-39,108,221,4,333,5356950
Ireland,40-49,149,151,2,302,5356950
Ireland,50+,75,104,2,182,5356950
Italy,<15,1,2,0,3,58926166
Italy,15-19,6,15,0,21,58926166
Italy,20-24,28,90,0,118,58926166
Italy,25-29,59,224,0,283,58926166
Italy,30-39,147,509,0,656,58926166
Italy,40-49,128,442,0,570,58926166
Italy,50+,126,602,0,728,58926166
Latvia,<15,0,0,0,0,1835935
Latvia,15-19,1,2,0,3,1835935
Latvia,20-24,2,3,0,5,1835935
Latvia,25-29,1,4,0,5,1835935
Latvia,30-39,16,34,0,50,1835935
Latvia,40-49,23,36,0,59,1835935
Latvia,50+,21,37,0,58,1835935
Liechtenstein,<15,0,0,0,0,40368
Liechtenstein,15-19,0,0,0,0,40368
Liechtenstein,20-24,0,0,0,0,40368
Liechtenstein,25-29,0,0,0,0,40368
Liechtenstein,30-39,0,0,0,0,40368
Liechtenstein,40-49,0,0,0,0,40368
Liechtenstein,50+,0,0,0,0,40368
Lithuania,<15,0,1,0,1,2797338
Lithuania,15-19,1,2,0,3,2797338
Lithuania,20-24,1,6,0,7,2797338
Lithuania,25-29,2,13,0,15,2797338
Lithuania,30-39,18,46,0,64,2797338
Lithuania,40-49,27,40,0,67,2797338
Lithuania,50+,13,26,0,39,2797338
Luxembourg,<15,0,0,0,0,687448
Luxembourg,15-19,0,0,0,0,687448
Luxembourg,20-24,1,3,0,4,687448
Luxembourg,25-29,1,2,0,3,687448
Luxembourg,30-39,1,12,0,13,687448
Luxembourg,40-49,4,9,0,13,687448
Luxembourg,50+,4,6,0,10,687448
Malta,<15,0,0,0,0,549011
Malta,15-19,0,0,0,0,549011
Malta,20-24,0,1,0,1,549011
Malta,25-29,0,1,0,1,549011
Malta,30-39,1,49,1,51,549011
Malta,40-49,4,12,0,16,549011
Malta,50+,3,10,0,13,549011
Netherlands,<15,0,0,0,0,18448775
Netherlands,15-19,1,0,0,1,18448775
Netherlands,20-24,5,15,0,20,18448775
Netherlands,25-29,12,29,0,41,18448775
Netherlands,30-39,41,223,7,271,18448775
Netherlands,40-49,53,134,2,189,18448775
Netherlands,50+,33,128,1,162,18448775
Norway,<15,0,0,0,0,5652989
Norway,15-19,0,1,0,1,5652989
Norway,20-24,0,5,0,5,5652989
Norway,25-29,3,16,0,19,5652989
Norway,30-39,19,57,0,76,5652989
Norway,40-49,35,62,0,97,5652989
Norway,50+,20,28,0,48,5652989
Poland,<15,1,1,0,2,37843188
Poland,15-19,1,2,0,3,37843188
Poland,20-24,3,17,0,20,37843188
Poland,25-29,11,139,0,150,37843188
Poland,30-39,150,511,0,665,37843188
Poland,40-49,157,385,0,546,37843188
Poland,50+,68,149,0,219,37843188
Portugal,<15,1,0,0,1,10395362
Portugal,15-19,0,1,0,1,10395362
Portugal,20-24,2,11,0,13,10395362
Portugal,25-29,4,46,0,50,10395362
Portugal,30-39,64,210,3,277,10395362
Portugal,40-49,65,129,0,194,10395362
Portugal,50+,96,151,0,247,10395362
Romania,<15,11,4,0,15,18800605
Romania,15-19,10,18,0,28,18800605
Romania,20-24,15,49,0,64,18800605
Romania,25-29,16,124,0,140,18800605
Romania,30-39,50,197,0,247,18800605
Romania,40-49,36,115,0,151,18800605
Romania,50+,36,77,0,113,18800605
Slovakia,<15,0,0,0,0,5451342
Slovakia,15-19,0,0,0,0,5451342
Slovakia,20-24,1,2,0,3,5451342
Slovakia,25-29,1,5,0,6,5451342
Slovakia,30-39,6,26,0,32,5451342
Slovakia,40-49,10,30,0,40,5451342
Slovakia,50+,3,16,0,19,5451342
Slovenia,<15,0,0,0,0,2114573
Slovenia,15-19,0,0,0,0,2114573
Slovenia,20-24,0,1,0,1,2114573
Slovenia,25-29,0,3,0,3,2114573
Slovenia,30-39,3,8,0,11,2114573
Slovenia,40-49,1,12,0,13,2114573
Slovenia,50+,5,10,0,15,2114573
Spain,<15,1,2,0,3,49500000
Spain,15-19,6,15,0,21,49500000
Spain,20-24,28,90,0,118,49500000
Spain,25-29,59,224,0,283,49500000
Spain,30-39,140,899,0,1046,49500000
Spain,40-49,116,557,0,678,49500000
Spain,50+,113,469,0,584,49500000
Sweden,<15,0,0,0,0,10701047
Sweden,15-19,0,1,0,1,10701047
Sweden,20-24,0,1,0,1,10701047
Sweden,25-29,1,2,0,3,10701047
Sweden,30-39,41,49,0,90,10701047
Sweden,40-49,27,53,0,80,10701047
Sweden,50+,19,46,0,65,10701047
