Land,Leeftijd,Vrouw,Man,Transgender,Totaal
Austria,<15,0,3,0,3
Austria,15-19,3,3,0,6
Austria,20-24,3,8,0,11
Austria,25-29,4,16,0,20
Austria,30-39,15,51,0,66
Austria,40-49,11,49,0,60
Austria,50+,9,29,0,38
Belgium,<15,3,2,0,5
Belgium,15-19,5,14,0,19
Belgium,20-24,18,58,3,80
Belgium,25-29,34,127,5,166
Belgium,30-39,136,218,15,370
Belgium,40-49,95,173,3,271
Belgium,50+,77,142,2,221
Bulgaria,<15,0,4,0,4
Bulgaria,15-19,2,2,0,4
Bulgaria,20-24,7,23,0,30
Bulgaria,25-29,6,25,0,31
Bulgaria,30-39,18,73,0,91
Bulgaria,40-49,20,57,0,77
Bulgaria,50+,9,38,0,47
Croatia,<15,1,0,0,1
Croatia,15-19,0,0,0,0
Croatia,20-24,0,2,0,2
Croatia,25-29,2,15,0,17
Croatia,30-39,5,20,0,25
Croatia,40-49,3,21,0,24
Croatia,50+,5,17,0,22
Cyprus,<15,1,2,0,3
Cyprus,15-19,0,0,0,0
Cyprus,20-24,2,7,0,9
Cyprus,25-29,5,21,0,26
Cyprus,30-39,10,24,0,34
Cyprus,40-49,4,16,0,20
Cyprus,50+,4,29,0,33
Czechia,<15,1,1,0,2
Czechia,15-19,2,2,0,4
Czechia,20-24,5,15,0,20
Czechia,25-29,9,41,0,50
Czechia,30-39,28,95,0,123
Czechia,40-49,49,98,0,147
Czechia,50+,13,39,0,52
Denmark,<15,0,1,0,1
Denmark,15-19,0,0,0,0
Denmark,20-24,0,5,0,5
Denmark,25-29,6,21,0,27
Denmark,30-39,20,46,0,66
Denmark,40-49,25,29,0,54
Denmark,50+,12,34,0,46
Estonia,<15,3,0,0,3
Estonia,15-19,1,1,0,2
Estonia,20-24,2,5,0,7
Estonia,25-29,6,5,0,11
Estonia,30-39,19,26,0,45
Estonia,40-49,14,28,0,42
Estonia,50+,15,8,0,23
Finland,<15,4,0,0,4
Finland,15-19,3,3,0,6
Finland,20-24,2,8,0,10
Finland,25-29,6,16,0,22
Finland,30-39,30,50,0,80
Finland,40-49,28,35,0,63
Finland,50+,17,24,0,41
France,<15,19,16,0,35
France,15-19,61,72,0,133
France,20-24,124,285,7,416
France,25-29,183,486,27,696
France,30-39,448,859,43,1350
France,40-49,340,572,20,932
France,50+,378,766,10,1154
Germany,<15,3,9,0,12
Germany,15-19,18,26,2,46
Germany,20-24,47,176,3,226
Germany,25-29,90,309,8,408
Germany,30-39,300,692,15,1007
Germany,40-49,251,576,5,832
Germany,50+,171,536,0,707
Greece,<15,0,2,0,2
Greece,15-19,5,4,0,9
Greece,20-24,18,38,0,56
Greece,25-29,23,54,1,78
Greece,30-39,49,133,3,185
Greece,40-49,24,148,0,172
Greece,50+,22,122,0,144
Hungary,<15,2,1,0,3
Hungary,15-19,1,1,0,2
Hungary,20-24,1,18,0,19
Hungary,25-29,2,24,0,26
Hungary,30-39,8,53,0,62
Hungary,40-49,5,38,0,43
Hungary,50+,7,29,0,37
Iceland,<15,0,0,0,0
Iceland,15-19,0,0,0,0
Iceland,20-24,0,0,0,0
Iceland,25-29,1,5,0,6
Iceland,30-39,7,6,0,13
Iceland,40-49,9,6,0,15
Iceland,50+,2,3,0,5
Ireland,<15,3,3,0,6
Ireland,15-19,7,7,0,14
Ireland,20-24,14,28,0,42
Ireland,25-29,35,92,2,129
Ireland,30-39,108,221,4,333
Ireland,40-49,149,151,2,302
Ireland,50+,75,104,2,182
Italy,<15,1,2,0,3
Italy,15-19,6,15,0,21
Italy,20-24,28,90,0,118
Italy,25-29,59,224,0,283
Italy,30-39,147,509,0,656
Italy,40-49,128,442,0,570
Italy,50+,126,602,0,728
Latvia,<15,0,0,0,0
Latvia,15-19,1,2,0,3
Latvia,20-24,2,3,0,5
Latvia,25-29,1,4,0,5
Latvia,30-39,16,34,0,50
Latvia,40-49,23,36,0,59
Latvia,50+,21,37,0,58
Liechtenstein,<15,0,0,0,0
Liechtenstein,15-19,0,0,0,0
Liechtenstein,20-24,0,0,0,0
Liechtenstein,25-29,0,0,0,0
